Sample,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
MX23-01,0.30148,0.20162,0.11357,0.10164,0.04565,0.02242,0.02915,0.02423,0.01833,0.02383,0.01410,0.03844,0.02673,0.04961
MX23-04,0.15299,0.09640,0.02803,0.04560,0.03993,0.03337,0.02292,0.03545,0.03021,0.03618,0.03236,0.04942,0.04519,0.05167
MX23-06,0.07514,0.06775,0.02400,0.03653,0.04273,0.04151,0.05702,0.05176,0.08290,0.09123,0.15190,0.19433,0.21526,0.23359
MX23-11,0.07504,0.06385,0.05993,0.06737,0.08111,0.05880,0.05645,0.07445,0.07323,0.06398,0.06432,0.08068,0.06902,0.09419
MX23-12A-1,0.05304,0.04109,0.02103,0.01337,0.00215,0.00151,0.00000,0.01413,0.00440,0.01549,0.00291,0.01736,0.01346,0.03570
MX23-12A-2,0.05453,0.04875,0.01025,0.03430,0.00417,0.00000,0.00244,0.00912,0.00857,0.01420,0.00993,0.02094,0.01870,0.04388
MX23-12B-1,0.15184,0.11390,0.06227,0.05555,0.01268,0.02294,0.03731,0.01929,0.01344,0.02469,0.01865,0.05375,0.02286,0.04892
MX23-15C,0.06372,0.05817,0.01879,0.03098,0.00643,0.01239,0.01482,0.00858,0.00703,0.00455,0.00969,0.01072,0.01309,0.03408
MX23-17,0.04247,0.05404,0.01029,0.01930,0.00211,0.00000,0.00929,0.00457,0.00992,0.00715,0.00381,0.02675,0.00990,0.01370
MX23-18,0.09722,0.05098,0.00147,0.03790,0.00000,0.00000,0.00689,0.00840,0.00000,0.00803,0.00999,0.02997,0.01418,0.02130
MX23-20,0.06954,0.04672,0.01354,0.02962,0.01288,0.00768,0.00244,0.00545,0.00485,0.00594,0.00535,0.00995,0.01487,0.01714
MX23-26,0.09420,0.07107,0.03987,0.03241,0.01071,0.00921,0.00892,0.03143,0.01495,0.02276,0.02377,0.03220,0.03025,0.05733
MX23-27,0.11454,0.08436,0.04193,0.02714,0.00218,0.00941,0.00913,0.00951,0.00982,0.00785,0.00935,0.02010,0.02524,0.03777
MX23-28,0.01480,0.03410,0.00461,0.01655,0.00000,0.00000,0.00000,0.01281,0.00314,0.01022,0.01089,0.02528,0.03431,0.06331
